codigo,descripcion,Autorizado presupuesto,imputado mes,imputado acumulado,saldo a imputar,pagado mes,pagado acumulado,saldo a pagar,anio,mes
1.00.00.00.00.00.000,EGRESOS CORRIENTES,"92233.320,00","6907.688,57","50581.233,24","41652.086,76","2842.551,03","39514.226,18","11067.007,06",2017,7
1.01.00.00.00.00.000,FUNCIONAMIENTO,"76926.320,00","6170.288,31","44120.234,06","32806.085,94","2232.207,86","33958.801,25","10161.432,81",2017,7
1.01.01.00.00.00.000,PERSONAL,"49186.320,00","4750.703,09","27356.319,72","21830.000,28","46.270,10","19935.345,79","7420.973,93",2017,7
1.01.01.01.01.00.000,SUELDOS BASICOS,"13403.907,00","903.678,96","5106.761,72","8297.145,28","0,00","3299.595,80","1807.165,92",2017,7
1.01.01.01.01.01.000,"AUTORIDADES SUPERIORES, H.C.D. Y H.T.C.","2527.296,00","193.157,00","1111.294,00","1416.002,00","0,00","724.980,00","386.314,00",2017,7
1.01.01.01.01.01.001,INTENDENTE,"405.432,00","37.163,00","212.846,00","192.586,00","0,00","138.520,00","74.326,00",2017,7
1.01.01.01.01.01.002,secretario de  gobierno,"283.644,00","25.999,00","148.908,00","134.736,00","0,00","96.910,00","51.998,00",2017,7
1.01.01.01.01.01.003,SECRETARIO DE OBRAS PUBLICAS Y PRIVADAS,"283.644,00","25.999,00","148.908,00","134.736,00","0,00","96.910,00","51.998,00",2017,7
1.01.01.01.01.01.004,SECRETARIO DE HACIENDA,"283.644,00","25.999,00","148.908,00","134.736,00","0,00","96.910,00","51.998,00",2017,7
1.01.01.01.01.01.005,SECRETARIO de servicios Publicos,"283.644,00","25.999,00","148.908,00","134.736,00","0,00","96.910,00","51.998,00",2017,7
1.01.01.01.01.01.006,Secretario de Desarrollo y Gest. publica,"283.644,00","25.999,00","148.908,00","134.736,00","0,00","96.910,00","51.998,00",2017,7
1.01.01.01.01.01.007,secretario de seguridad ciudadana,"283.644,00","25.999,00","148.908,00","134.736,00","0,00","96.910,00","51.998,00",2017,7
1.01.01.01.01.01.010,Direccion de Alumbrado Publico,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00",2017,7
1.01.01.01.01.01.011,Direccion de Obras Publicas,"84.000,00","0,00","5.000,00","79.000,00","0,00","5.000,00","0,00",2017,7
1.01.01.01.01.01.012,Direccion de Espacios Verdes,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00",2017,7
1.01.01.01.01.01.013,DIRECCION DE MEDIO AMBIENTE,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00",2017,7
1.01.01.01.01.01.015,Asesora Letrada,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00",2017,7
1.01.01.01.01.02.000,personal jerarquico,"1206.792,00","66.070,00","378.408,00","828.384,00","0,00","246.268,00","132.140,00",2017,7
1.01.01.01.01.02.001,CAPATAZ GENERAL             (24),"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00",2017,7
